HLA,st_auc,st_ap,st_recall,st_precision,st_f1,nt_auc,nt_ap,nt_recall,nt_precision,nt_f1,pos_cnt,neg_cnt
HLA-A0101,0.9868483145222298,0.9876258255826862,0.9107926970187197,0.9730864197530864,0.9409096335203534,0.9507143037247092,0.9565354867339374,0.7039519297434712,0.9703727301688436,0.8159657112242164,4327,4317
HLA-A0201,0.9655718761728502,0.9645498953255508,0.8642554141549453,0.9425371317263209,0.9017004425809458,0.9260579328827384,0.9296402809318464,0.671355213217236,0.9579483912073908,0.7894460488317143,4479,4458
HLA-A2402,0.9839684097580812,0.9858065878526541,0.9194404245055475,0.9626262626262626,0.9405378731803603,0.9508790214513589,0.9555223956224819,0.7431259044862518,0.9734597156398104,0.8428395568321706,4146,4133
HLA-B0801,0.9782255438677714,0.9782813207776788,0.8874202602704772,0.9590227222589897,0.9218331698783365,0.9544521014882749,0.9617591724153884,0.8269966828272518,0.9598412604394954,0.8884807281100938,19595,19555
HLA-B1801,0.95764502727259,0.9653785377467293,0.7758398929876009,0.9782044628956927,0.8653487504662438,0.9386041483244104,0.9499974977892776,0.7836085815712301,0.9653314742045886,0.8650291069146671,19437,19418
